"crim" "zn" "indus" "chas" "nox" "rm" "age" "dis" "rad" "tax" "ptratio" "black" "lstat" "medv"
"1" -0.792372502430192 0.284548269340465 -1.2866362317172 -0.272329067679209 -0.144074854732454 0.413262920453086 -0.119894767215808 0.140074983979562 -0.981871187861868 -0.665949179488735 -1.4575579672896 0.440615894999094 -1.07449897034393 0.159527788524498
"2" -0.733279877508703 -0.487240187226824 -0.592794378242936 -0.272329067679209 -0.739530360743428 0.194082387437015 0.366803426432622 0.556609049570402 -0.86702448858815 -0.986353380438696 -0.302794499749459 0.440615894999094 -0.491952524918566 -0.101423917273119
"3" -0.733321581010527 -0.487240187226824 -0.592794378242936 -0.272329067679209 -0.739530360743428 1.28144555123103 -0.265548971154389 0.556609049570402 -0.86702448858815 -0.986353380438696 -0.302794499749459 0.396035074079377 -1.20753241340982 1.32293747687221
"4" -0.7231788337251 -0.487240187226824 -1.305585694102 -0.272329067679209 -0.834458050107496 1.01529776114009 -0.809087829754461 1.07667113511199 -0.752177789314432 -1.10502160301276 0.112920348564992 0.415751407655665 -1.36017078492752 1.18158863623183
"5" -0.666085796486985 -0.487240187226824 -1.305585694102 -0.272329067679209 -0.834458050107496 1.22736204308421 -0.510674338758343 1.07667113511199 -0.752177789314432 -1.10502160301276 0.112920348564992 0.440615894999094 -1.02548664921439 1.48603229299572
"6" -0.72810221517437 -0.487240187226824 -1.305585694102 -0.272329067679209 -0.834458050107496 0.206891639366525 -0.350809968581852 1.07667113511199 -0.752177789314432 -1.10502160301276 0.112920348564992 0.410165113142383 -1.04229087360166 0.670558212378165
"7" -0.642408032654201 0.0487240187226824 -0.476182302028774 -0.272329067679209 -0.264891913923086 -0.388026950248526 -0.0701591853831221 0.83841421947304 -0.522484390766995 -0.57694801255819 -1.50374850599121 0.426376320749553 -0.0312367063009089 0.039924923367257
"8" -0.585174452091397 0.0487240187226824 -0.476182302028774 -0.272329067679209 -0.264891913923086 -0.160306915946114 0.977840574662768 1.02362489736658 -0.522484390766995 -0.57694801255819 -1.50374850599121 0.440615894999094 0.90979985938622 0.496590408513087
"9" -0.530455765557488 0.0487240187226824 -0.476182302028774 -0.272329067679209 -0.264891913923086 -0.930285281931143 1.11638969548239 1.0861216286763 -0.522484390766995 -0.57694801255819 -1.50374850599121 0.32812325842772 2.41937935017599 -0.655946292093055
"10" -0.563013240150884 0.0487240187226824 -0.476182302028774 -0.272329067679209 -0.264891913923086 -0.399412951963647 0.615481335596054 1.32832020746017 -0.522484390766995 -0.57694801255819 -1.50374850599121 0.328999539919999 0.622727692770355 -0.394994586295438
"11" -0.520383742528173 0.0487240187226824 -0.476182302028774 -0.272329067679209 -0.264891913923086 0.131459378003851 0.913894826592171 1.21177995013946 -0.522484390766995 -0.57694801255819 -1.50374850599121 0.392639483296794 1.09184562358165 -0.819041108216566
"12" -0.61098531221675 0.0487240187226824 -0.476182302028774 -0.272329067679209 -0.264891913923086 -0.392296700891695 0.508905088811726 1.15479204924914 -0.522484390766995 -0.57694801255819 -1.50374850599121 0.440615894999094 0.0863928644099822 -0.394994586295438
"13" -0.636138410532301 0.0487240187226824 -0.476182302028774 -0.272329067679209 -0.264891913923086 -0.563086726618504 -1.05066065579894 0.786365269993213 -0.522484390766995 -0.57694801255819 -1.50374850599121 0.370513375616738 0.428078760284476 -0.0905509295315515
"14" -0.300335080446874 -0.487240187226824 -0.436825726306494 -0.272329067679209 -0.144074854732454 -0.4776917137551 -0.240681180238046 0.433325223977673 -0.637331090040713 -0.600681657073002 1.17530273870192 0.440615894999094 -0.615183503758547 -0.231899770171928
"15" -0.296786592820591 -0.487240187226824 -0.436825726306494 -0.272329067679209 -0.144074854732454 -0.268473932239759 0.565745753763367 0.316689986822149 -0.637331090040713 -0.600681657073002 1.17530273870192 0.25572050012813 -0.335113097304044 -0.47110550048641
"16" -0.301364977538011 -0.487240187226824 -0.436825726306494 -0.272329067679209 -0.144074854732454 -0.641365488409959 -0.428965882890359 0.334118786511106 -0.637331090040713 -0.600681657073002 1.17530273870192 0.426595391122623 -0.585776111080824 -0.286264708879764
